group,condition,top1,mean_class_accuracy
A0,clean,90.53,90.52
A0,joint_missing_mild,70.81,70.84
A0,limb_occlusion_mild,76.46,76.48
A0,coord_noise_mild,63.09,63.12
A0,frame_missing_mild,85.61,85.6
A0,mixed_mild,53.28,53.31
A0,joint_missing_moderate,19.68,19.68
A0,limb_occlusion_moderate,57.66,57.67
A0,coord_noise_moderate,18.17,18.2
A0,frame_missing_moderate,76.76,76.75
A0,mixed_moderate,20.43,20.43
A0,joint_missing_severe,5.33,5.33
A0,limb_occlusion_severe,35.12,35.13
A0,coord_noise_severe,5.95,5.95
A0,frame_missing_severe,63.09,63.1
A0,mixed_severe,11.88,11.89
A1,clean,89.22,89.22
A1,joint_missing_mild,89.52,89.52
A1,limb_occlusion_mild,78.6,78.61
A1,coord_noise_mild,69.0,69.0
A1,frame_missing_mild,88.31,88.32
A1,mixed_mild,70.2,70.19
A1,joint_missing_moderate,89.43,89.43
A1,limb_occlusion_moderate,61.74,61.72
A1,coord_noise_moderate,26.32,26.34
A1,frame_missing_moderate,78.99,78.99
A1,mixed_moderate,40.64,40.65
A1,joint_missing_severe,88.87,88.87
A1,limb_occlusion_severe,39.21,39.19
A1,coord_noise_severe,10.01,10.03
A1,frame_missing_severe,66.44,66.45
A1,mixed_severe,26.77,26.77
A2,clean,91.06,91.07
A2,joint_missing_mild,73.73,73.74
A2,limb_occlusion_mild,88.16,88.17
A2,coord_noise_mild,53.43,53.43
A2,frame_missing_mild,83.74,83.73
A2,mixed_mild,54.59,54.58
A2,joint_missing_moderate,14.41,14.4
A2,limb_occlusion_moderate,83.74,83.76
A2,coord_noise_moderate,11.69,11.68
A2,frame_missing_moderate,73.0,72.98
A2,mixed_moderate,23.31,23.29
A2,joint_missing_severe,2.23,2.24
A2,limb_occlusion_severe,76.78,76.81
A2,coord_noise_severe,4.77,4.76
A2,frame_missing_severe,59.27,59.26
A2,mixed_severe,16.37,16.37
A3,clean,85.71,85.72
A3,joint_missing_mild,82.36,82.37
A3,limb_occlusion_mild,66.29,66.29
A3,coord_noise_mild,85.26,85.27
A3,frame_missing_mild,80.49,80.49
A3,mixed_mild,70.08,70.08
A3,joint_missing_moderate,69.84,69.84
A3,limb_occlusion_moderate,41.72,41.72
A3,coord_noise_moderate,83.85,83.85
A3,frame_missing_moderate,71.58,71.57
A3,mixed_moderate,47.43,47.43
A3,joint_missing_severe,46.62,46.64
A3,limb_occlusion_severe,19.57,19.57
A3,coord_noise_severe,80.79,80.81
A3,frame_missing_severe,59.91,59.91
A3,mixed_severe,29.19,29.2
A4,clean,86.75,86.74
A4,joint_missing_mild,64.83,64.78
A4,limb_occlusion_mild,71.15,71.14
A4,coord_noise_mild,61.95,61.93
A4,frame_missing_mild,89.84,89.83
A4,mixed_mild,57.72,57.71
A4,joint_missing_moderate,27.86,27.85
A4,limb_occlusion_moderate,51.3,51.29
A4,coord_noise_moderate,17.83,17.81
A4,frame_missing_moderate,89.17,89.17
A4,mixed_moderate,26.81,26.81
A4,joint_missing_severe,10.74,10.72
A4,limb_occlusion_severe,29.07,29.07
A4,coord_noise_severe,6.36,6.35
A4,frame_missing_severe,87.05,87.04
A4,mixed_severe,16.54,16.54
A5,clean,90.2,90.2
A5,joint_missing_mild,89.54,89.54
A5,limb_occlusion_mild,86.68,86.69
A5,coord_noise_mild,88.44,88.45
A5,frame_missing_mild,89.73,89.73
A5,mixed_mild,86.7,86.71
A5,joint_missing_moderate,89.24,89.23
A5,limb_occlusion_moderate,81.87,81.88
A5,coord_noise_moderate,85.61,85.62
A5,frame_missing_moderate,88.66,88.66
A5,mixed_moderate,78.39,78.4
A5,joint_missing_severe,88.25,88.25
A5,limb_occlusion_severe,72.72,72.74
A5,coord_noise_severe,80.79,80.81
A5,frame_missing_severe,85.82,85.82
A5,mixed_severe,61.63,61.64
A6,clean,89.84,89.84
A6,joint_missing_mild,89.8,89.8
A6,limb_occlusion_mild,86.1,86.11
A6,coord_noise_mild,88.42,88.43
A6,frame_missing_mild,89.13,89.14
A6,mixed_mild,86.66,86.67
A6,joint_missing_moderate,89.28,89.29
A6,limb_occlusion_moderate,80.67,80.69
A6,coord_noise_moderate,86.19,86.2
A6,frame_missing_moderate,87.65,87.65
A6,mixed_moderate,80.79,80.81
A6,joint_missing_severe,88.64,88.64
A6,limb_occlusion_severe,72.01,72.04
A6,coord_noise_severe,82.53,82.55
A6,frame_missing_severe,85.35,85.35
A6,mixed_severe,71.36,71.38
